🇭🇰港台,#genre#
SBS,http://ye23.win/iptv/sbs5.1.php?id=S01
MBC,http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
KBS-1,http://ye23.vip/z7z8/2021/kbs2020.php?id=1
KBS-2,http://ye23.vip/z7z8/2021/kbs2020.php?id=2
KBS-WORLD,http://ye23.vip/z7z8/2021/kbs2020.php?id=3
KBS-WORLD,https://kbsworld-ott.akamaized.net:443/hls/live/2002341/kbsworld/01.m3u8
翡翠台,http://tv.mushui.tk:9090/itv/gd/utv/play.php?id=xgfeicui_1500
TVB翡翠台,http://119.77.96.184:1935/chn21/chn21/playlist.m3u8
TVB翡翠台,http://antvlive.ab5c6921.cdnviet.com/antv/chunklist.m3u8
TVB翡翠台海外版(粤语),https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
TVB翡翠台海外版(普通话),https://livecdn.fptplay.net/sdc/quochoivn_hls.smil/chunklist_b2800000.m3u8
TVB明珠台,https://livecdn.fptplay.net/sdc/quocphongvnhd_hls.smil/chunklist_b2800000.m3u8
TVB明珠台,http://51.222.193.143:10010/2
TVB功夫台(普通话),http://51.222.193.143:10010/5
TVB J2,http://51.222.193.143:10010/6
TVBS新闻HD,rtmp://59.124.75.138/sat/tv551
TVBS新闻HD,rtmp://59.124.75.150/sat/tv551
民视新闻HD,https://wabc.ml/hlk.php?id=1011
民视新闻HD,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
民视新闻HD,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
台视新闻HD,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
台视新闻HD,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
TVBS新闻,rtmp://59.124.75.138:1935/sat/tv551
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8

🈲测试,#genre#
卫视中文,http://220.134.196.147:8933/http/116.50.42.18:8081/hls/62/804/ch05.m3u8?token=7375646fa0886d71294f378c722be3491efdaa4a
卫视中文,http://easy_001.ztpfuoodzsthwn.xyz:8888/mylive/103/333660/index.m3u8
卫视中文,http://easy_001.ztpfuoodzsthwn.xyz:8888/mylive/103/333660/tracks-v1a1/mono.m3u8
寰宇新闻,https://wabc.ml/hlk.php?id=136
寰宇新闻,http://220.134.196.147:8909/http/116.50.42.18:8081/hls/76/818/ch62.m3u8?token=7375646fa0886d71294f378c722be3491efdaa4a
TVBS新闻,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS新闻HD,rtmp://59.124.75.138:1935/sat/tv551
TVBS新闻HD,https://ssttvv1.6zxr.xyz/tvbs56/hls/index.m3u8
TVBS新闻HD,rtmp://59.124.75.138/sat/tv551
TVBS新闻HD,rtmp://59.124.75.150/sat/tv551
三立新闻HD,http://61.221.81.93:8088/hls/65/807/ch18.m3u8
三立新闻HD,http://220.134.196.147:8905/http/116.50.42.18:8081/hls/65/807/ch18.m3u8?token=7375646fa0886d71294f378c722be3491efdaa4a
民视新闻HD,https://wabc.ml/hlk.php?id=1011
民视新闻HD,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
民视新闻HD,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
台视新闻HD,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
台视新闻HD,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
中天新闻,http://220.134.196.147:8903/http/116.50.42.18:8081/hls/78/80/ch63max.m3u8?token=7375646fa0886d71294f378c722be3491efdaa4a
民視新闻,http://220.134.196.147:8904/http/116.50.42.18:8081/hls/73/815/ch51.m3u8?token=7375646fa0886d71294f378c722be3491efdaa4a
非凡新闻HD,http://220.134.196.147:8906/http/116.50.42.18:8081/hls/75/817/ch57.m3u8?token=7375646fa0886d71294f378c722be3491efdaa4a
年代新闻,http://220.134.196.147:8901/http/116.50.42.18:8081/hls/67/809/ch27.m3u8?token=7375646fa0886d71294f378c722be3491efdaa4a
壹新闻,http://220.134.196.147:8910/http/116.50.42.18:8081/hls/66/808/ch24.m3u8?token=7375646fa0886d71294f378c722be3491efdaa4a
寰宇新闻台湾台,https://wabc.ml/hlk.php?id=137
中视HD,http://61.221.81.93:8088/hls/72/814/ch47.m3u8
民视HD,https://wabc.ml/hlk.php?id=96
寰宇综合,https://wabc.ml/hlk.php?id=142
寰宇财经,https://wabc.ml/hlk.php?id=141
八大综艺,https://wabc.ml/hlk.php?id=92
澳门莲花,https://wabc.ml/hlk.php?id=1765
纬来体育,rtmp://219.80.97.35/sat/tv721
纬来体育,rtmp://59.124.75.150/sat/tv721
中天亚洲,https://wabc.ml/hlk.php?id=121
龙华戏剧,https://wabc.ml/hlk.php?id=95
龙华日韩,https://wabc.ml/hlk.php?id=116
龙华偶像,https://wabc.ml/hlk.php?id=122
龙华卡通,https://wabc.ml/hlk.php?id=89
龙华经典,https://wabc.ml/hlk.php?id=234
龙华电影,https://wabc.ml/hlk.php?id=132
靖洋卡通,https://wabc.ml/hlk.php?id=147
靖天综合,https://wabc.ml/hlk.php?id=86
靖天资讯,https://wabc.ml/hlk.php?id=118
靖天育乐,https://wabc.ml/hlk.php?id=100
靖天映画,https://wabc.ml/hlk.php?id=114
靖天戏剧,https://wabc.ml/hlk.php?id=106
靖天日本,https://wabc.ml/hlk.php?id=224
靖天卡通,https://wabc.ml/hlk.php?id=104
靖天欢乐,https://wabc.ml/hlk.php?id=107
靖天国际,https://wabc.ml/hlk.php?id=155
民视台湾,https://wabc.ml/hlk.php?id=97
博斯运行II,https://wabc.ml/hlk.php?id=124
博斯无限,https://wabc.ml/hlk.php?id=129
博斯网球,https://wabc.ml/hlk.php?id=53
博斯魅力,https://wabc.ml/hlk.php?id=135
博斯高球II,https://wabc.ml/hlk.php?id=125
博斯高球1,https://wabc.ml/hlk.php?id=108
博期无限II,https://wabc.ml/hlk.php?id=418
亚洲旅游,https://wabc.ml/hlk.php?id=119
亚州综合,https://wabc.ml/hlk.php?id=138
星空卫视,https://wabc.ml/hlk.php?id=1763
台湾戏剧,https://wabc.ml/hlk.php?id=233
美食星球,https://wabc.ml/hlk.php?id=143
生活英语,https://wabc.ml/hlk.php?id=249
TV5MONDE,https://wabc.ml/hlk.php?id=268
SMART,https://wabc.ml/hlk.php?id=68
mediacorp,https://wabc.ml/hlk.php?id=266
HQKKQTV,https://wabc.ml/hlk.php?id=422
HBO其他,https://wabc.ml/hlk.php?id=228
Good2,https://wabc.ml/hlk.php?id=103
ET综合,https://wabc.ml/hlk.php?id=146
DW,https://wabc.ml/hlk.php?id=269
BabyFirst,https://wabc.ml/hlk.php?id=78
无名,https://wabc.ml/hlk.php?id=420
待修复,https://wabc.ml/hlk.php?id=270

港台,#genre#
華視HD,http://220.134.196.147:8913/http/116.50.42.18:8081/hls/72/814/ch48.m3u8?token=7375646fa0886d71294f378c722be3491efdaa4a
民視HD,http://220.134.196.147:8914/http/116.50.42.18:8081/hls/73/815/ch49.m3u8?token=7375646fa0886d71294f378c722be3491efdaa4a
公視,http://220.134.196.147:8915/http/116.50.42.18:8081/hls/73/815/ch50.m3u8?token=7375646fa0886d71294f378c722be3491efdaa4a
國家地理HD,http://220.134.196.147:8919/http/116.50.42.18:8081/hls/61/803/ch01.m3u8?token=7375646fa0886d71294f378c722be3491efdaa4a
探索亚洲,http://220.134.196.147:8920/http/116.50.42.18:8081/hls/71/813/ch44.m3u8?token=7375646fa0886d71294f378c722be3491efdaa4a
旅遊生活,http://220.134.196.147:8921/http/116.50.42.18:8081/hls/70/812/ch38.m3u8?token=7375646fa0886d71294f378c722be3491efdaa4a
動物星球,http://220.134.196.147:8922/http/116.50.42.18:8081/hls/70/812/ch37.m3u8?token=7375646fa0886d71294f378c722be3491efdaa4a
亞洲旅遊,http://220.134.196.147:8923/http/116.50.42.18:8081/hls/76/818/ch61.m3u8?token=7375646fa0886d71294f378c722be3491efdaa4a
